,config.variables.CHANNEL_24,country,config.variables.SHUTDOWN_24,description,msn,type,config.variables.CHANNEL_5,mac,network,config.variables.VLAN_1_IP,config.variables.POWER_5,status_time,config.variables.VLAN_1_PREFIX6,config.variables.DISPLAY_NAME,tower,config.variables.VLAN_1_IP6,product,managed_account,location.type,ap_group,ip,config.variables.DEFAULT_GW6,config.variables.VLAN_1_MASK,config.variables.POWER_24,config.variables.VLAN_1_MODE6,config.variables.LOCATION,config.version,config.variables.VLAN_1_MODE,site,registration_date,@timestamp,config.variables.DNS_SERVER6_2,config.variables.DNS_SERVER_2,config.variables.DNS_SERVER6_1,config.variables.DNS_SERVER_1,name,site_id,location.coordinates,config.variables.SHUTDOWN_5,config.variables.DEFAULT_GW,status
380,,CO,,,W8WE06MR59C9,wifi-enterprise,,BC:E6:7C:4E:7E:32,CESAR,,,3875976.0,,,,,cnPilot e510,,Point,OUTDOOR,172.25.33.28,,,,,,,,30626-ZGYO112 GAMARRA	LA ESTACION,2021-05-04 18:53:39,2021-06-21T09:48:13.818332,,,,,30626-ZGYO112-AP-EXT-1,30626-ZGYO112,-75.618854,,,offline
381,,CO,,32544-ZGYO475-AP-EXT1,W8WL04KC1HGW,wifi-enterprise,,BC:A9:93:00:98:E8,CORDOBA,,,25590.0,,,,,cnPilot e510,,Point,OUTDOOR,172.25.119.125,,,,,,,,32544-ZGYO475-TIERRALTA-NUEVA GRANADA,2021-05-06 16:57:22,2021-06-21T09:48:13.818332,,,,,32544-ZGYO475-AP-EXT1,32544-ZGYO475,3.6754755,,,offline
382,,CO,,32544-ZGYO475-AP-EXT2,W8WL04BNTCZT,wifi-enterprise,,BC:A9:93:00:98:1F,CORDOBA,,,25853.0,,,,,cnPilot e510,,Point,OUTDOOR,172.25.119.124,,,,,,,,32544-ZGYO475-TIERRALTA-NUEVA GRANADA,2021-05-06 16:59:18,2021-06-21T09:48:13.818332,,,,,32544-ZGYO475-AP-EXT2,32544-ZGYO475,-73.247297,,,offline
383,,CO,,,W8WJ04JZ4NM6,wifi-enterprise,,BC:E6:7C:5F:06:4C,CORDOBA,,,3332.0,,,,,cnPilot e410,,Point,INDOOR,172.25.40.19,,,,,,,,32021-ZZZY348 PUERTO ESCONDIDO VERDUM,2021-05-05 15:44:03,2021-06-21T09:48:13.818332,,,,,32021-ZZZY348-AP-INT,32021-ZZZY348,6.314361,,,offline
384,,CO,,,W8WJ0BR3HVR4,wifi-enterprise,,BC:E6:7C:E7:C9:47,CORDOBA,,,3272.0,,,,,cnPilot e510,,Point,OUTDOOR,172.25.40.20,,,,,,,,32021-ZZZY348 PUERTO ESCONDIDO VERDUM,2021-05-05 16:08:58,2021-06-21T09:48:13.818332,,,,,32021-ZZZY348-AP-EXT1,32021-ZZZY348,-73.247297,,,offline
385,,CO,,,W8WJ0BSRX0WV,wifi-enterprise,,BC:E6:7C:E7:C9:79,CORDOBA,,,3212.0,,,,,cnPilot e510,,Point,OUTDOOR,172.25.40.21,,,,,,,,32021-ZZZY348 PUERTO ESCONDIDO VERDUM,2021-05-05 16:36:07,2021-06-21T09:48:13.818332,,,,,32021-ZZZY348-AP-EXT2,32021-ZZZY348,6.314361,,,offline
386,,CO,,22286-ZGYO974-AP-INT,W8WJ00MDWV89,wifi-enterprise,,BC:E6:7C:5D:21:31,ANTIOQUIA,,,2295425.0,,,,,cnPilot e410,,Point,INDOOR,172.25.120.171,,,,,,,,22286-ZGYO974-SANTA RITA,2021-05-05 20:19:52,2021-06-21T09:48:13.818332,,,,,22286-ZGYO974-AP-INT,22286-ZGYO974,-73.247297,,,offline
387,,CO,,20696-ZGYO163-AP-EXT2,W8WF00ZSCKLR,wifi-enterprise,,BC:E6:7C:4F:47:AD,ANTIOQUIA,,,35732.0,,,,,cnPilot e510,,Point,OUTDOOR,172.28.103.181,,,,,,1,,20696-ZGYO163-NECOCLI-VDA. MULATICOS,2021-05-06 12:45:50,2021-06-21T09:48:13.818332,,,,,20696-ZGYO163-AP-EXT2,20696-ZGYO163,6.314361,,,offline
388,,CO,,20696-ZGYO163-AP-INT,W8WK04LSBZPB,wifi-enterprise,,BC:E6:7C:EC:AA:D5,ANTIOQUIA,,,35357.0,,,,,cnPilot e410,,Point,INDOOR,172.28.103.179,,,,,,,,20696-ZGYO163-NECOCLI-VDA. MULATICOS,2021-05-06 12:43:42,2021-06-21T09:48:13.818332,,,,,20696-ZGYO163-AP-INT,20696-ZGYO163,-72.88916667,,,offline
389,,CO,,20696-ZGYO163-AP-EXT1,W8WF014T6G77,wifi-enterprise,,BC:E6:7C:4F:48:44,ANTIOQUIA,,,35732.0,,,,,cnPilot e510,,Point,OUTDOOR,172.28.103.180,,,,,,1,,20696-ZGYO163-NECOCLI-VDA. MULATICOS,2021-05-06 12:45:02,2021-06-21T09:48:13.818332,,,,,20696-ZGYO163-AP-EXT1,20696-ZGYO163,8.300833333,,,offline
390,,CO,,,W8WJ0309RF76,wifi-enterprise,,BC:E6:7C:5E:33:A4,ANTIOQUIA,,,217413.0,,,,,cnPilot e410,,Point,INDOOR,172.28.107.155,,,,,,,,22139-ZGYO180 VALDIVIA EL QUINCE,2021-05-06 16:19:01,2021-06-21T09:48:13.818332,,,,,22139-ZGYO180-AP-INT,22139-ZGYO18,-73.93441,,,offline
391,,CO,,,W8WF00ZV3PQJ,wifi-enterprise,,BC:E6:7C:4F:47:AF,ANTIOQUIA,,,217413.0,,,,,cnPilot e510,,Point,OUTDOOR,172.28.107.156,,,,,,1,,22139-ZGYO180 VALDIVIA EL QUINCE,2021-05-06 16:19:23,2021-06-21T09:48:13.818332,,,,,22139-ZGYO180-AP-EXT2,22139-ZGYO18,5.76568,,,offline
392,,CO,,,W8WF012L92G0,wifi-enterprise,,BC:E6:7C:4F:48:01,ANTIOQUIA,,,217413.0,,,,,cnPilot e510,,Point,OUTDOOR,172.28.107.157,,,,,,1,,22139-ZGYO180 VALDIVIA EL QUINCE,2021-05-06 16:19:52,2021-06-21T09:48:13.818332,,,,,22139-ZGYO180-AP-EXT1,22139-ZGYO18,-73.93441,,,offline
393,,CO,,,W8WK04T24F8N,wifi-enterprise,,BC:E6:7C:EC:DD:91,CORDOBA,,,2763462.0,,,,,cnPilot e410,,Point,INDOOR,172.25.115.187,,,,,,,,31566-ZGYO330 CORDOBA VEREDA ISLA DE SABA,2021-05-06 17:45:53,2021-06-21T09:48:13.818332,,,,,31566-ZGYO330-AP-INT,31566-ZGYO330,5.76568,,,offline
